Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      5.52     0.00     1508     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_local_data() const
  0.00      5.52     0.00     1439     0.00     0.00  char const* std::__addressof<char const>(char const&)
  0.00      5.52     0.00     1428     0.00     0.00  char const* std::addressof<char const>(char const&)
  0.00      5.52     0.00     1265     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_dispose()
  0.00      5.52     0.00     1254     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_set_length(unsigned long)
  0.00      5.52     0.00     1181     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::~basic_string()
  0.00      5.52     0.00     1167     0.00     0.00  std::char_traits<char>::copy(char*, char const*, unsigned long)
  0.00      5.52     0.00     1153     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_Alloc_hider::~_Alloc_hider()
  0.00      5.52     0.00     1149     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::c_str() const
  0.00      5.52     0.00     1126     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_S_copy(char*, char const*, unsigned long)
  0.00      5.52     0.00      961     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_local_data()
  0.00      5.52     0.00      949     0.00     0.00  char* std::__addressof<char>(char&)
  0.00      5.52     0.00      942     0.00     0.00  char* std::addressof<char>(char&)
  0.00      5.52     0.00      917     0.00     0.00  std::__cxx11::to_string(unsigned long)
  0.00      5.52     0.00      904     0.00     0.00  std::pointer_traits<char*>::pointer_to(char&)
  0.00      5.52     0.00      896     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_Alloc_hider::_Alloc_hider(char*, std::allocator<char> const&)
  0.00      5.52     0.00      889     0.00     0.00  std::iterator_traits<char*>::iterator_category std::__iterator_category<char*>(char* const&)
